Name,Address,Rent,Beds,Bath,Parking,Utilities,Type of Laundry,Latitude,Longitude
400 W. Vernon,400 W. Vernon,339,4,1,Yes,Yes,Coin,40.5050859,-88.98860959999999
400 W. Vernon,400 W. Vernon,439,4,2,Yes,Yes,In-unit,40.5050859,-88.98860959999999
401 E. College,401 E. College,499,4,2,Yes,Yes,In-unit,40.510211,-88.9793038
401 E. College,401 E. College,530,3,2,Yes,Yes,In-unit,40.510211,-88.9793038
401 N. School,401 N. School,545,7,3.5,No,No,In-unit,40.5141392,-88.9899361
402 N. Main St,402 N. Main St,1199,1,1,Yes,No,In-unit,40.5141187,-88.99443860000001
402 N. Main St,402 N. Main St,675,4,4.5,Yes,Yes,In-unit,40.5141187,-88.99443860000001
402 N. Main St,402 N. Main St,679,3,3.5,No,No,In-Unit,40.5141187,-88.99443860000001
402 N. Main St.,402 N. Main St.,805,2,2.5,Yes,Yes,In-unit,40.5141187,-88.99443860000001
402 Normal Ave,402 Normal Ave,499,4,3,Yes,Yes,In-Unit,40.5143887,-88.9912066
404 N. Main,404 N. Main,460,4,2,Yes,Yes,In-unit,40.5146214,-88.9947641
405 Broadway,405 Broadway,325,4,1,Yes,Yes,Coin (in unit W/D for remodels),40.5070612,-88.9860132
405 Broadway,405 Broadway,410,4,1,No,No,In-Unit,40.5070612,-88.9860132
405 Broadway,405 Broadway,725,3,3,Yes,Yes,W/D In Unit,40.5070612,-88.9860132
405 Broadway,405 Broadway,775,2,2.5,Yes,Yes,W/D In unit,40.5070612,-88.9860132
406 Broadway,406 Broadway,459,4,2,No,No,In-Unit,40.5072042,-88.98539579999999
406 Broadway,406 Broadway,479,4,2,Yes,Yes,In-unit,40.5072042,-88.98539579999999
406 W. Locust,406 W. Locust,655,3,3,Yes,Yes,In-unit,40.5132282,-88.99257039999999
406 W. Locust,406 W. Locust,699,2,2,Yes,Yes,In-unit,40.5132282,-88.99257039999999
406 W. Locust St.,406 W. Locust St.,945,1,1,Yes,No,In-unit,40.5132282,-88.99257039999999
407 N. Fell,407 N. Fell,510,2,1,Yes,Yes,Coin,40.5137416,-88.987638
407 N. Fell,407 N. Fell,899,1,1,Yes,Yes,coin,40.5137416,-88.987638
407 W. Willow,407 W. Willow,375,4,1,Yes,Yes,Coin,40.5136256,-88.99257039999999
407 W. Willow,407 W. Willow,575,2,1,Yes,Yes,Coin,40.5136256,-88.99257039999999
409 N. School,409 N. School,569,6,3,No,No,In-Unit,40.5148946,-88.98997349999999
410 N. Main,410 N. Main,520,3,2,Yes,Yes,In-unit,40.5149917,-88.9942892
410 W. Vernon,410 W. Vernon,345,3,1,Yes,Yes,Coin,40.5050169,-88.9898053
410 W. Vernon Ave.,410 W. Vernon Ave.,465,2,1,Yes,Yes,coin,40.5050169,-88.9898053
410 W. Vernon Remodels,410 W. Vernon Remodels,620,2,1,No,No,In-Unit,40.5050169,-88.9898053
412 N. Main St.,412 N. Main St.,435,2,1,Yes,Yes,Coin,40.5150941,-88.9946441
412 W Willow,412 W Willow,515,4,2,No,No,In-Unit,40.5140847,-88.9928133
414 W. Willow,414 W. Willow,435,7,2,No,No,In-unit,40.514086,-88.99296269999999
416 W. Willow,416 W. Willow,499,4,1,No,No,In-Unit,40.5140486,-88.9932243
501 Broadway,501 Broadway,660,4,4.5,Yes,Yes,In-unit,40.506375,-88.986147
501 Broadway,501 Broadway,845,2,2.5,Yes,Yes,In-unit,40.506375,-88.986147
501 N. Adelaide,501 N. Adelaide,525,4,1,No,No,In-unit,40.5154556,-89.0019852
501 N. Adelaide,501 N. Adelaide,555,2,1.5,No,No,In-unit,40.5154556,-89.0019852
503 Broadway,503 Broadway,515,4,2,Yes,Yes,In Unit,40.5060377,-88.98608709999999
504 W. Willow,504 W. Willow,475,4,2,No,No,In-Unit,40.5141168,-88.99421439999999
505 S. Broadway,505 S. Broadway,545,2,1.5,Yes,Yes,Neighboring Property,40.505839,-88.98608709999999
505 S. Broadway,505 S. Broadway,625,2,1,No,No,In-Unit,40.505839,-88.98608709999999
508 E. College Ave,508 E. College Ave,585,2,1.5,Yes,Yes,In-unit,40.5107352,-88.9779022
600 Hester,600 Hester,589,4,2.5,Yes,Yes,In-unit,40.5061936,-88.9880117
600 Hester,600 Hester,599,4,3.5,No,No,In-Unit,40.5061936,-88.9880117
601 Broadway,601 Broadway,649,4,4.5,No,Yes,In-unit,40.5056803,-88.9861245
601 Broadway,601 Broadway,715,3,3.5,No,No,In-Unit,40.5056803,-88.9861245
602 Dry Grove,602 Dry Grove,1149,1,1,Yes,No,In-unit,40.5090595,-88.99535399999999
602 Dry Grove,602 Dry Grove,699,4,4.5,Yes,Yes,In-unit,40.5090595,-88.99535399999999
602 Dry Grove,602 Dry Grove,805,2,2.5,No,No,In-Unit,40.5090595,-88.99535399999999
602 Hester St,602 Hester St,645,4,4.5,No,Yes,In-unit,40.5057738,-88.98819189999999
602 S. Fell,602 S. Fell,665,3,3.5,No,No,In-Unit,40.5056662,-88.9867785
602 S. Fell Ave,602 S. Fell Ave,649,4,4.5,No,Yes,In-unit,40.5056662,-88.9867785
602 S. Kingsley,602 S. Kingsley,1099,1,1,Yes,No,In-unit,40.505485,-88.99590479999999
602 S. Kingsley,602 S. Kingsley,669,2,2,Yes,Yes,In-unit,40.505485,-88.99590479999999
602-604 Broadway,602-604 Broadway,599,4,4.5,Yes,Yes,In-unit,40.5055005,-88.98533309999999
603 S. Broadway,603 S. Broadway,NA,9,3,No,No,In-unit,40.5055203,-88.98601239999999
604 N. Fell,604 N. Fell,459,3,1,Yes,Yes,In-unit,40.5152278,-88.9871709
605 S. Broadway,605 S. Broadway,NA,9,3.5,No,No,In-unit,40.5053016,-88.9859937
606 Hester,606 Hester,585,4,4,No,No,In-Unit,40.5056378,-88.9880864
606 N. Fell,606 N. Fell,515,3,1,Yes,Yes,In-Unit,40.5154265,-88.9871709
607 Broadway,607 Broadway,705,2,2.5,Yes,Yes,In-unit,40.50506310000001,-88.9859937
607 S. Broadway,607 S. Broadway,599,3,3.5,Yes,Yes,In-unit,40.50506310000001,-88.9859937
608 Broadway House,608 Broadway House,NA,9,3.5,No,No,In-Unit,40.5051367,-88.985321
608 Hester,608 Hester,649,4,4.5,Yes,Yes,In-unit,40.5053993,-88.9880864
608 Hester,608 Hester,675,3,3.5,Yes,Yes,In-unit,40.5053993,-88.9880864
608 Hester,608 Hester,785,2,2.5,Yes,Yes,In-unit,40.5053993,-88.9880864
701 Kingsley,701 Kingsley,545,4,2,No,No,In-Unit,40.504183,-88.996819
701 N. Fell,701 N. Fell,449,2,1,Yes,Yes,Coin,40.5160124,-88.9882733
701 N. Fell,701 N. Fell,549,2,1,Yes,No,Coin,40.5160124,-88.9882733
705 Franklin,705 Franklin,395,4,1,Yes,Yes,In-unit,40.50395899999999,-88.9915616
706 S. Main St.,706 S. Main St.,815,1,1,Yes,No,Coin,40.50404829550941,-88.99411764408879
707 Osage,707 Osage,450,4,2,Yes,Yes,In-unit,40.5041265,-88.99712869999999
707 S. Main,707 S. Main,495,4,2,Yes,Yes,In-unit,40.5037923,-88.9952606
